날짜,종가,시가,고가,저가,거래량,전일비
2025.10.28,99500,100900,101000,99100,19830309,-2500
2025.10.27,102000,101300,102000,100600,22169970,3200
2025.10.24,98800,97900,99000,97700,18801925,2300
2025.10.23,96500,96800,98500,96300,18488581,-2100
2025.10.22,98600,97100,98600,95500,15937611,1100
2025.10.21,97500,98500,99900,97300,22803830,-600
2025.10.20,98100,97900,98300,96000,17589756,200
2025.10.17,97900,97200,99100,96700,22730809,200
2025.10.16,97700,95300,97700,95000,28141060,2700
2025.10.15,95000,92300,95300,92100,21050111,3400
2025.10.14,91600,95300,96000,90200,35545235,-1700
2025.10.13,93300,91300,93400,90700,23883308,-1100
2025.10.10,94400,94000,94500,92700,35269748,5400
2025.10.02,89000,89300,90300,88700,49883028,3000
2025.10.01,86000,84900,86200,84700,22039361,2100
2025.09.30,83900,84600,84900,83400,16319061,-300
2025.09.29,84200,83300,85000,83200,13069094,900
2025.09.26,83300,85000,85300,82400,24071193,-2800
2025.09.25,86100,84400,86200,84100,19665151,700
2025.09.24,85400,84200,85500,83700,18300997,700
2025.09.23,84700,85800,85900,83600,23610263,1200
2025.09.22,83500,81500,84000,81100,27529656,3800
2025.09.19,79700,81100,81200,79600,20898386,-800
2025.09.18,80500,79100,80500,78600,25619035,2300
2025.09.17,78200,79100,79100,77100,20856317,-1200
2025.09.16,79400,76900,79500,76700,28218265,2900
2025.09.15,76500,77200,77600,75900,19908805,1100
2025.09.12,75400,74600,75600,74200,28219678,2000
2025.09.11,73400,73200,73600,72100,20793501,800
2025.09.10,72600,71800,72800,71600,21928565,1100
2025.09.09,71500,70100,71500,70000,14870245,1400
2025.09.08,70100,69800,70500,69600,9263135,600
2025.09.05,69500,70300,70400,69500,11526724,-600
2025.09.04,70100,69500,70100,69300,12284414,300
2025.09.03,69800,69200,69800,68800,10283009,700
2025.09.02,69100,67800,69500,67800,10604028,1500
2025.09.01,67600,68400,68600,67500,12002343,-2100
2025.08.29,69700,70100,70500,69700,11682267,100
2025.08.28,69600,70100,70400,69600,11578024,-1000
2025.08.27,70600,70100,70900,69800,10523405,300
2025.08.26,70300,70800,71100,70300,14712519,-1200
2025.08.25,71500,71700,71800,71000,10345178,100
2025.08.22,71400,71700,71800,70800,9277432,800
2025.08.21,70600,71500,71900,70600,18843833,100
2025.08.20,70500,70100,70700,69400,17445516,500
2025.08.19,70000,70400,70700,69700,10533082,0
2025.08.18,70000,71100,71200,70000,13595591,-1600
2025.08.14,71600,71900,71900,71200,11946122,-300
2025.08.13,71900,71900,72100,71400,12305742,800
2025.08.12,71100,71100,72400,71100,15797656,100
2025.08.11,71000,72000,72100,70800,11354253,-800
2025.08.08,71800,71000,72400,70700,22241128,1300
2025.08.07,70500,70800,71000,69700,15008213,1700
2025.08.06,68800,69200,69400,68300,12542415,-1100
2025.08.05,69900,71000,71500,69700,14392903,200
2025.08.04,69700,69500,70200,68700,14780072,800
2025.08.01,68900,70200,72000,68800,24038534,-2500
2025.07.31,71400,73000,74000,71000,26568072,-1200
2025.07.30,72600,71000,73700,70600,34761444,2000
2025.07.29,70600,70800,70800,68800,28190940,200
2025.07.28,70400,68200,70400,67200,35332500,4500
2025.07.25,65900,65700,66300,65500,8080910,-100
2025.07.24,66000,66500,66800,65900,12660193,-400
2025.07.23,66400,66200,66500,64900,15687058,400
2025.07.22,66000,68100,68500,65600,20829006,-1800
2025.07.21,67800,67400,68800,67200,17723148,700
2025.07.18,67100,67000,67800,66300,23951531,400
2025.07.17,66700,65900,66800,64400,39448683,2000
2025.07.16,64700,63700,64700,63100,23042660,1000
2025.07.15,63700,62300,63800,62000,18442202,1200
2025.07.14,62500,62300,62600,61800,13563846,-100
2025.07.11,62600,61300,62800,61200,19140650,1600
2025.07.10,61000,60600,61200,60400,14768473,600
2025.07.09,60400,61400,61400,60200,17533415,-1000
2025.07.08,61400,61600,62400,61000,20213724,-300
2025.07.07,61700,62900,63300,61700,17164708,-1600
2025.07.04,63300,64700,64700,63000,23748959,-500
2025.07.03,63800,61300,63800,61100,32040639,3000
2025.07.02,60800,60200,60900,59800,15047951,600
2025.07.01,60200,60400,61100,60200,13650991,400
2025.06.30,59800,61200,61200,59800,17110294,-1000
2025.06.27,60800,60100,61600,60000,17340470,600
2025.06.26,60200,61300,61300,59900,19402300,-1100
2025.06.25,61300,61500,61600,60300,23933612,800
2025.06.24,60500,59400,60600,59300,23737899,2500
2025.06.23,58000,58400,58500,57600,16551694,-1500
2025.06.20,59500,59400,59800,59100,18072251,300
2025.06.19,59200,60500,60600,59000,16876278,-600
2025.06.18,59800,58000,59800,57900,17620705,1700
2025.06.17,58100,57800,59800,57400,28637003,900
2025.06.16,57200,58000,58100,56900,22200872,-1100
2025.06.13,58300,60200,60200,57700,20705979,-1200
2025.06.12,59500,59700,60000,59300,17755115,-400
2025.06.11,59900,59500,60100,59400,13610734,700
2025.06.10,59200,60000,60100,58800,15305760,-600
2025.06.09,59800,60400,60400,59500,19609659,700
2025.06.05,59100,58100,59900,57900,23266027,1300
2025.06.04,57800,57200,57900,56800,19649983,1000
2025.06.02,56800,56300,57300,56200,12870515,600
2025.05.30,56200,56200,57200,55800,26219683,100
